Restaurant Name,Location,Contact,Menu,Cuisine,Price,"Ratings(Dining, Delivery)",Operating Hours,More Info
PC Delicacy,"Shop No 120/868 B, Ranjit Nagar, Shastri Nagar Near Concept Clothing Central Kanpur 208005",,"[{'item': 'Eam Momos Veg Momo Paneer Momo Burger Veg Burger Veg Cheese Burger Paneer Burger Sandwich Veg Cheese Grilled Sandwich Paneer Cheese Grilled Sandwich 100 No 120 80 80 70', 'price': '₹90'}, {'item': 'Halomin Lemon Coriander 100 170 150 100 170 150 100 85 70 75 90 95', 'price': '₹60'}, {'item': 'O 120 -Pakoda Veg Manchurian Dry 140 Gravy 140 Paneer Pakoda 40 Chilli Paneer Dry 0 Mix Pakoda 80 Gravy 160 Veg Spring Roll 100 Malae Chaap Roll', 'price': '₹100'}, {'item': 'Ikka Malai Chaap 150 Paneer Chaap', 'price': '₹150'}, {'item': 'Andoor Chaap 150 Masala Chaap', 'price': '₹150'}, {'item': 'Ikka', 'price': '₹150'}, {'item': 'Ikka', 'price': '₹150'}, {'item': 'Ikka', 'price': '₹150'}, {'item': 'Ikka Masala Chana Masaia 170 180 150 180 150 200 200 200 270 250', 'price': '₹170'}, {'item': 'Plain Curd', 'price': '₹45'}, {'item': 'A 60 Green Salad', 'price': '₹40'}, {'item': 'Ed Papad 20 Masala Papad', 'price': '₹50'}, {'item': 'Andoori Chai', 'price': '₹30'}, {'item': 'H Bun Makhan', 'price': '₹50'}, {'item': 'Er Naan', 'price': '₹70'}, {'item': '2Pcs. Plain Naan', 'price': '₹40'}, {'item': 'Sari Mix Kulcha', 'price': '₹60'}, {'item': 'Sari Paneer Kulcha', 'price': '₹90'}, {'item': 'Ure', 'price': '₹50'}, {'item': 'Ed Naan', 'price': '₹70'}, {'item': 'A Kachori', 'price': '₹50'}, {'item': 'Ed Paneer Naan. 85 Bread Paneer Pakoda 30 Bun Makkhan 30 Chhole Rice 5 Rajma Rice 50 Kadhi Rice Ey Paneer Rice Ro Plain Rice Zo Jeera Rice 199) Veg Biryani', 'price': '₹100'}, {'item': 'Eam Momos Veg Momo Paneer Momo Burger Veg Burger Veg Cheese Burger Paneer Burger Sandwich Veg Cheese Grilled Sandwich Paneer Cheese Grilled Sandwich 100 No 120 80 80 70', 'price': '₹90'}, {'item': 'Halomin Lemon Coriander 100 170 150 100 170 150 100 85 70 75 90 95', 'price': '₹60'}]","Chinese, North Indian",₹500 for two,-- • too few ratings •,"CLOSED, OPENS AT 11AM","Reservation available, Free wifi, SwiggyPay accepted"
Pakvan Restaurant,"117/H, 1/375, Model Town, Pandu Nagar, Kanpur, Uttar Pradesh",,[],North Indian,₹600 for two,3.5 • 53 in Google •,"CLOSED, OPENS AT 10AM","Parking available, SwiggyPay accepted"
Patiala Grand,"122/82 B 83, Fazalganj, Darshan Purwa, Govind Nagar Near Pedal Pros (Bicycle Store) Giant, Scott, Firebox, Hero, Hercules, Tata West Kanpur 208012",,"[{'item': 'Angadi Kabab', 'price': '₹299'}, {'item': 'Ikka', 'price': '₹289'}, {'item': 'Andoori Bharra', 'price': '₹299'}, {'item': 'Ikka', 'price': '₹289'}, {'item': 'Ikka 289 Chicken Seekh Kabab', 'price': '₹259'}, {'item': 'Andoori Chicken', 'price': '₹279'}, {'item': 'I Murg', 'price': '₹269'}, {'item': 'On Seek Kabab', 'price': '₹299'}, {'item': 'Ikka', 'price': '₹299'}, {'item': 'Inger', 'price': '₹279'}, {'item': 'Ish', 'price': '₹269'}, {'item': '(2 Pcs.) 149 Energy Bhurji 149 Boil Egg (4 Pcs.)', 'price': '₹159'}, {'item': 'Ry Chilly Chicken', 'price': '₹249'}, {'item': 'Heaven (6 Pcs.) 289 Chicken Lollipop (6 Pcs.) 289 Dragon Chicken 269 Chicken 65', 'price': '₹269'}, {'item': 'Er - 1', 'price': '₹1049'}, {'item': 'Er - 1 (Se', 'price': '₹979'}, {'item': 'Er - 1', 'price': '₹949'}, {'item': 'Guid & Raila Green Salad', 'price': '₹149'}, {'item': 'A 119 Baked Lasagna 299 Baked Veg', 'price': '₹279'}, {'item': 'A Chilly Paneer Pizza 249 Chilly Chicken Pizza', 'price': '₹269'}, {'item': 'Ikka Pizza', 'price': '₹249'}, {'item': 'Ikka Pizza', 'price': '₹269'}, {'item': 'Ables & Paneer Cheese Pizza', 'price': '₹249'}, {'item': 'A Pizza', 'price': '₹249'}, {'item': 'E Sauce', 'price': '₹49'}, {'item': 'E Ice Cream 49 Gulab Jamun', 'price': '₹49'}, {'item': 'H Ice Cream', 'price': '₹79'}, {'item': 'On Dum Biryani 279 (4 Pcs.) Chicken Dum Biryani', 'price': '₹219'}, {'item': 'Ikka Rice', 'price': '₹199'}, {'item': 'Rice & Dal Jeera Rice', 'price': '₹149'}, {'item': 'Eamed Rice 139 Dum Biryani', 'price': '₹199'}, {'item': 'Adka 199 Dal Makhani 229 Brads Paneer Kulcha 85 Onion Kulcha 75 Aloo Kulcha 65 Garlic Naan', 'price': '₹69'}, {'item': 'Er Naan', 'price': '₹50'}, {'item': 'I 50 Naan', 'price': '₹45'}, {'item': 'Ha 50 Kashmiri Naan', 'price': '₹149'}, {'item': 'I 35 Chicken Keema Naan', 'price': '₹149'}, {'item': 'Ikka Masala 249 Paneer Lababdar 269 Kadhai Paneer 249 Handi Paneer', 'price': '₹249'}, {'item': 'Er Masala 249 Paneer Do Pyaza 249 Mushroom Masala 249 Dum Aloo Allahabadi 199 Mix Veg 239 Jeera Aloo', 'price': '₹199'}, {'item': 'Iala Special', 'price': '₹599'}, {'item': '- (8 Pcs)', 'price': '₹379'}, {'item': 'Er Chicken', 'price': '₹599'}, {'item': '- (8 Pcs)', 'price': '₹379'}, {'item': '- (4 Pcs) Handi Chicken', 'price': '₹549'}, {'item': '- (8 Pcs)', 'price': '₹349'}, {'item': '- (4 Pcs) Kadhai Chicken', 'price': '₹549'}, {'item': '- (8 Pes)', 'price': '₹349'}, {'item': 'On Korma', 'price': '₹649'}, {'item': '- (8 Pcs)', 'price': '₹399'}, {'item': 'On Gravy', 'price': '₹649'}, {'item': '- (8 Pes)', 'price': '₹399'}, {'item': 'On Rara', 'price': '₹699'}, {'item': '- (8 Pcs)', 'price': '₹399'}, {'item': '- (4 Pcs) Chicken Kalimirch', 'price': '₹549'}, {'item': '- (8 Pcs)', 'price': '₹349'}, {'item': 'Ish', 'price': '₹459'}, {'item': '- (6 Pcs)', 'price': '₹369'}, {'item': '- (3 Pcs) Egg Curry', 'price': '₹299'}, {'item': '- (4 Pcs)', 'price': '₹199'}, {'item': '- (2 Pcs) Murg Mushallam', 'price': '₹549'}, {'item': '- (6 Pcs)', 'price': '₹349'}, {'item': ""'Chilly Mushroom Dry 229 Chilly Paneer Dry 239 Manchurian Dry"", 'price': '₹209'}, {'item': 'O 189 Cheese Cigar 259 Crispy Corn 229 Spring Roll 189 Paneer 65', 'price': '₹259'}, {'item': 'Chiaken Hakka Noodles 179 199 Chilly Garlic Noodles 179', 'price': '₹199'}, {'item': 'Ried Rice 149', 'price': '₹169'}, {'item': 'Ried Rice 149', 'price': '₹169'}, {'item': 'Ried Rice', 'price': '₹159'}]","Chinese, North Indian",₹1200 for two,4.9 • 74 in Google •,"CLOSED, OPENS AT 11AM","Alcohol served, Reservation available, Parking available, Free wifi, SwiggyPay accepted"
Patiala Grand Family Restaurant,"122/82 B, 83 First Floor, Fazalganj Kanpur Nagar, Chawla Market, Nagar Nigam Food Safety Zone-19, Kanpur, Uttar Pradesh, 208012",,[],North Indian,₹800 for two,4 • 925 in Google •,OPEN TILL 11:59PM,"Parking available, SwiggyPay accepted"
Pebbles,"Rawatpur Main Road, Moti Vihar Society, Sarvodaya Nagar, Pandu Nagar Near Ratandeep Hospital North Kanpur 208005",,"[{'item': ""'V Papad Plain Roll Papad 125 Masala Papad"", 'price': '₹175'}, {'item': 'I 296 Peshawar! Naan 1S Salad Green Salad', 'price': '₹195'}, {'item': 'H Ice Cream', 'price': '₹568'}, {'item': 'Banana)', 'price': '₹345'}, {'item': 'Er) Kanpuriya Sundae', 'price': '₹355'}, {'item': 'Ed Inidans) Cheese Cake', 'price': '₹325'}, {'item': 'Ed Caramel Brownie', 'price': '₹335'}, {'item': 'O & Basil', 'price': '₹275'}, {'item': 'Chk)', 'price': '₹255'}, {'item': 'Chk)', 'price': '₹255'}, {'item': 'Chk)', 'price': '₹275'}, {'item': 'Chk)', 'price': '₹275'}, {'item': 'Lavours) Greek Salad', 'price': '₹305'}, {'item': 'Ossed In A Lemon Herb Dressing) Caesar Salad', 'price': '₹305'}, {'item': 'And Parmesan Shaving In A Homemade Dressing) Chinese Bhel', 'price': '₹345'}, {'item': 'Oush Salad', 'price': '₹355'}, {'item': 'Ers', 'price': '₹325'}, {'item': 'Ogarashi Mayo) Crispy Corn', 'price': '₹335'}, {'item': 'Hai Dragon Rolls', 'price': '₹345'}, {'item': 'Sauce) Cheesy Corn Roll', 'price': '₹365'}, {'item': 'Chicken', 'price': '₹355'}, {'item': 'Ried Chicken', 'price': '₹395'}, {'item': 'Ake Mushroom', 'price': '₹395'}, {'item': 'Dry Chilly And Krispy Korean Chicken Wings', 'price': '₹405'}, {'item': 'Ish', 'price': '₹435'}, {'item': 'Ish', 'price': '₹445'}, {'item': 'Ries', 'price': '₹225'}, {'item': 'Ries', 'price': '₹255'}, {'item': 'H Salads & Dips)', 'price': '₹275'}, {'item': 'Ries', 'price': '₹285'}, {'item': 'He Way', 'price': '₹285'}, {'item': '& Parsley) Loaded Nachos', 'price': '₹365'}, {'item': 'Ingers', 'price': '₹425'}, {'item': 'Sauce)', 'price': '₹475'}, {'item': 'Hummus Bin Lahem', 'price': '₹525'}, {'item': 'Ers Shahi Hara Kebab', 'price': '₹325'}, {'item': 'Andoori Soya Chaap', 'price': '₹355'}, {'item': 'He Spicy Chaap. Lovers) Kurkure Dahi Ke Kebab', 'price': '₹365'}, {'item': 'I Kebab', 'price': '₹385'}, {'item': 'Le Soya Malai Chaap', 'price': '₹375'}, {'item': 'Ikka', 'price': '₹395'}, {'item': 'Ikka', 'price': '₹405'}, {'item': 'He Spicy Lovers) Malai Broccoli', 'price': '₹395'}, {'item': 'Andoor) Lasooni Mushroom', 'price': '₹395'}, {'item': 'Ikka', 'price': '₹425'}, {'item': 'Coleslaw) Chicken Seekh Kebab', 'price': '₹425'}, {'item': 'E Nawab', 'price': '₹435'}, {'item': 'Sari Machi', 'price': '₹435'}, {'item': 'I Kebab', 'price': '₹435'}, {'item': 'Ikka', 'price': '₹445'}, {'item': 'Ikka', 'price': '₹455'}, {'item': 'Ikka', 'price': '₹455'}, {'item': 'Ki Seekh', 'price': '₹475'}, {'item': 'Her', 'price': '₹375'}, {'item': 'Ikka Panini', 'price': '₹395'}, {'item': 'Spicy Mayo) Grilled Chicken & Cheese', 'price': '₹425'}, {'item': 'Ikka Panini', 'price': '₹415'}, {'item': 'Moon Quesadilla', 'price': '₹595'}, {'item': 'Mushroom & Cheese', 'price': '₹415'}, {'item': 'Cheese) Indi Paneer', 'price': '₹435'}, {'item': 'Rom Inside) Smokey Chicken', 'price': '₹475'}, {'item': 'Ory', 'price': '₹4751'}, {'item': 'Grilled Green Chilly) Bbq Pulled Chicken', 'price': '₹535'}, {'item': 'Y Burger 325 Nashville Chicken Burger', 'price': '₹375'}, {'item': 'Basil) Incredible Mac & Cheese', 'price': '₹385'}, {'item': 'Redo', 'price': '₹395'}, {'item': 'I Agli Olio', 'price': '₹395'}, {'item': 'Red Peppers) Mushroom Sauce', 'price': '₹425'}, {'item': 'O & Cream', 'price': '₹435'}, {'item': 'H Cream Sauce) Lamb Bolognaise', 'price': '₹495'}, {'item': 'Chicken', 'price': '₹100'}, {'item': 'Veggies', 'price': '₹70'}, {'item': 'Pappad)', 'price': '₹385'}, {'item': 'E Chowmein', 'price': '₹325'}, {'item': 'Pappad)', 'price': '₹395'}, {'item': 'H Spicy 345)', 'price': '₹395'}, {'item': 'Usion', 'price': '₹595'}, {'item': 'Chicken Symphony', 'price': '₹695'}, {'item': 'On Euphoria Discovery', 'price': '₹745'}, {'item': 'Kachumber Salad) Indian Main Course Jeera Aloo', 'price': '₹275'}, {'item': 'Adka 295 Aloo Bukhara', 'price': '₹315'}, {'item': 'I 325 Egg Curry', 'price': '₹335'}, {'item': 'Ar Mushroom', 'price': '₹345'}, {'item': 'Er Masala', 'price': '₹355'}, {'item': 'N.Veg)', 'price': '₹395'}, {'item': 'I 395 Dal Bhukhara 395 Paneer Lababdar 40S Shahi Paneer 415 Paneer Kolharpuri 425 Chicken Diwani Hand!', 'price': '₹425'}, {'item': 'Er Chicken', 'price': '₹435'}, {'item': 'I 435 Chicken Khade Masala', 'price': '₹445'}, {'item': 'On Masala 535', 'price': '₹550'}]","Chinese, North Indian",₹800 for two,4.5 • 218 in Google •,"CLOSED, OPENS AT 3PM","Reservation available, Valet parking, Free wifi, SwiggyPay accepted"
Pind Balluchi,"113/188, Swaroop Nagar,Opposite Kanpur Vidya Mandir",,[],"Chinese, North Indian",₹700 for two,3.9 • 1K+ in Google •,"CLOSED, OPENS AT 1PM","Reservation available, Free wifi, SwiggyPay accepted"
Punjabi Chaap Corner,"120/917, Lajpat Nagar, Narainpurwa, Kanpur, Uttar Pradesh",,[],North Indian,₹800 for two,4.1 • 1K+ in Google •,"CLOSED, OPENS AT 11AM","Reservation available, Parking available, SwiggyPay accepted, Pure veg"
Rahul Sweets & Namkeen,"Sabji Mandi Road, Industrial Estate, Vijay Nagar, Shastri Nagar, Kanpur, Uttar Pradesh",,[],North Indian,₹600 for two,4.1 • 4K+ in Google •,"CLOSED, OPENS AT 7:30AM","Parking available, SwiggyPay accepted, Pure veg"
Rise N' Dine,"111-A/12B, Gt Rd, Near Rbs Motors, Ashok Nagar, Ashok Nagar Rbs Motors - Hero Motocorp North Kanpur 208012",,"[{'item': '& Lounge On Mrp 40 70 150 150 180 180 200 200 60 80 150 180 200 220 150 220 50', 'price': '₹80'}, {'item': 'Y & Rice) 130 130 130 130 200 200 160 90 110 150 150 80 200', 'price': '₹230'}, {'item': '5B O 140 170 200 220 180 180 220 160', 'price': '₹80'}, {'item': '120 120 200 280 250 160 160 160 160 230 230', 'price': '₹230'}, {'item': 'A Pizza', 'price': '₹200'}, {'item': 'Resh Pizza', 'price': '₹230'}, {'item': 'Ikka Pizza', 'price': '₹70'}, {'item': 'Age Cheese Pizza', 'price': '₹300'}, {'item': 'Ikka Pizza ---', 'price': '₹320'}, {'item': 'Peri-Peri Onion & Cheese) Chilli Chicken Pizza ---', 'price': '₹350'}, {'item': 'H Honey) Shezwan Chilly Paneer', 'price': '₹250'}, {'item': '& Pepper', 'price': '₹250'}, {'item': '& Pepper) Spring Roll', 'price': '₹180'}, {'item': 'Able Manchurian Dry', 'price': '₹200'}, {'item': ') Xian Crispy Corn', 'price': '₹250'}, {'item': 'Able Manchurian In Sauce', 'price': '₹200'}, {'item': 'H Chopped Onions & Soya Chilli Sauce) Chilli Paneer In Sauce', 'price': '₹250'}, {'item': 'Garlic Sauce', 'price': '₹240'}, {'item': 'Lavoured Sauce) Veg Noodles', 'price': '₹150'}, {'item': 'Able Manchurianinsauce', 'price': '₹200'}, {'item': 'H Chopped Onions & Soya Chilli Sauce) Chilli Paneer In Sauce', 'price': '₹250'}, {'item': 'Lavoured Sauce) 240 Veg Noodles', 'price': '₹150'}, {'item': 'Ables)', 'price': '₹170'}, {'item': 'Ed In A Savory Sauce)', 'price': '₹170'}, {'item': 'H English Veggies) 170 Dumplings (Momos)', 'price': '₹160'}, {'item': 'Ables)', 'price': '₹150'}, {'item': 'H Chopped Onion & Soya Chilli Sauce) 170 200 200 220 170 200 200 220', 'price': '₹300'}, {'item': 'Curd & Cashew) 190 280 300 300 270 250 250 300 180 220 300 300 280 220', 'price': '₹350'}, {'item': 'Ure Dish)', 'price': '₹300'}, {'item': 'Andoor) 180 280', 'price': '₹300'}, {'item': 'I Seek Kabab ---', 'price': '₹400'}, {'item': '---', 'price': '₹300'}, {'item': 'Ull ---', 'price': '₹500'}, {'item': 'Ional Spices) Chicken Lolipop ---', 'price': '₹320'}, {'item': 'Kadhai Paneer', 'price': '₹290'}, {'item': 'Er Paneer', 'price': '₹290'}, {'item': 'Er Masala 290 Paneer Makhani 290 Paneer Lababdar', 'price': '₹290'}, {'item': 'Hi Malai', 'price': '₹290'}, {'item': 'Ikka Masala 290 Paneer Do Pyaza 290 Shahi Paneer 290 Paneer Khas Masaledar 290 Paneer Khurchan', 'price': '₹290'}, {'item': 'A 300 A Mix Veg 240 Subz Handi', 'price': '₹280'}, {'item': 'Rezi', 'price': '₹280'}, {'item': 'E Aloo 180 Aloo Apki Pasand', 'price': '₹180'}, {'item': 'Ar 180 Kahsmiri Dum Aloo 200 Banarasi Dum Aloo', 'price': '₹180'}, {'item': 'Ure Dish)', 'price': '₹300'}, {'item': 'Adka', 'price': '₹180'}, {'item': 'Sari 180 Punjabi Kadi Daal 180 S Pindi Chana 270 Chana Masala', 'price': '₹270'}, {'item': 'U Chole 270 Rajma Masala', 'price': '₹270'}, {'item': '250', 'price': '₹250'}, {'item': 'Kadai Chicken 390 Murg Lababdaar 390 Murg Makhani', 'price': '₹390'}, {'item': 'Ikka Masala 390 Chicken Rezala 390 Chicken Korma', 'price': '₹390'}, {'item': 'Special) 410 Chicken Curry (2 Pcs.)', 'price': '₹190'}, {'item': 'An Pulao 110 150', 'price': '₹180'}, {'item': 'S) Veg Biryani', 'price': '₹200'}, {'item': 'Salad Onion Salad Green Salad Russian Salad Kimchi 520 520 520 520 350 50 120 120 120 150 150 80 100 130', 'price': '₹130'}, {'item': '& Lounge 30 40 50 40 60 80 100 50 50 80 130 250 80 100 100 120', 'price': '₹150'}, {'item': 'Ries', 'price': '₹140'}, {'item': 'A Pizza', 'price': '₹200'}, {'item': 'Ries', 'price': '₹170'}, {'item': 'Ries)', 'price': '₹200'}, {'item': 'Resh Pizza', 'price': '₹230'}, {'item': 'Special)', 'price': '₹220'}, {'item': 'O Salsa', 'price': '₹180'}, {'item': 'Paneer Sg Pizza A 270 Paneer Palade', 'price': '₹180'}, {'item': 'Ikka Onion Eese) Cheese Ball', 'price': '₹220'}, {'item': 'Age Cheese Pizza 300 Kurkure Bhel', 'price': '₹160'}, {'item': 'Paneer', 'price': '₹80'}, {'item': '120 Pav Bhaji', 'price': '₹120'}, {'item': 'H Honey) Shezwan Chilly Paneer', 'price': '₹250'}, {'item': 'H Chilly & Onion) Manchaow Soup', 'price': '₹130'}, {'item': '& Pepper', 'price': '₹250'}, {'item': '& Sour Soup', 'price': '₹130'}, {'item': 'Spring Roll', 'price': '₹180'}, {'item': 'Ed In Roll) Mushroom Soup', 'price': '₹200'}, {'item': 'Broccoli Soup', 'price': '₹200'}, {'item': 'Able Manchurian Dry', 'price': '₹200'}, {'item': 'Ed Club Sandwich', 'price': '₹160'}, {'item': '2 Xian Crispy Corn 250 Veg Grill Sandwich', 'price': '₹10'}, {'item': 'Ossed & Served) Paneer Grill Sandwich 150 Burger Double Decker Burger', 'price': '₹150'}, {'item': 'E Chinese Veg Burger', 'price': '₹80'}, {'item': 'Able Manchurian In Sauce', 'price': '₹200'}, {'item': 'A & Soya Chilli Sauce) Chilli Paneer & Sauce 250 Pomodoro Penne Red Sauce', 'price': '₹200'}, {'item': 'E Cheese Sauce', 'price': '₹230'}, {'item': 'Garlic Sauce', 'price': '₹240'}, {'item': 'Ables', 'price': '₹350'}, {'item': 'Veg Noodles', 'price': '₹150'}, {'item': 'Chilli Soya Sauce) 200 250 240 150 170 170 170 170 160 150 170 180 190 280 300 300', 'price': '₹270'}, {'item': 'Lucknow) 250 250 300 180 220 300', 'price': '₹180'}, {'item': 'Ar Kahsmiri Dum Aloo Banarasi Dum Aloo 290 290 290 290 290 290 290 290 290 290 290 260 300 300 240 280 280 180 180 180 200', 'price': '₹180'}, {'item': 'Ol 300 180 180 180 180 270 270 270 270 110 150 180 200 50 120 120 120 150 150 80 100 130', 'price': '₹130'}, {'item': '& Lounge 30 40 50 40 60 80 100 50 50 80 130 250 80 100 100 120', 'price': '₹150'}]","Chinese, North Indian",₹800 for two,4.9 • 35 in Google •,"CLOSED, OPENS AT 10AM","Reservation available, Parking available, Free wifi, SwiggyPay accepted"
Romeo Lane,"C - 2,Emerald Garden, Above Reliance Trends, Khalasi Line, Kanpur, Uttar Pradesh 208002",,[],North Indian,₹1800 for two,4 • 345 in Google •,"CLOSED, OPENS AT 12PM","Alcohol served, Reservation available, Parking available, Valet parking, Smoking area, SwiggyPay accepted"
Royal Darbar,"29/5 Rawatpur Gaon Kalyanpur ,Naveen Nagar Kakadev -57 Kanpur Nagar",,"[{'item': 'Veg. Non-Veg. Manchow 69', 'price': '₹109'}, {'item': '- Sour 79', 'price': '₹119'}, {'item': 'Drink', 'price': '₹39'}, {'item': 'Corn 89 Masala Cold Drink', 'price': '₹49'}, {'item': 'O 89 Lime Soda', 'price': '₹49'}, {'item': 'Ries', 'price': '₹70'}, {'item': 'Ries', 'price': '₹89'}, {'item': '89 1 Spring Roll', 'price': '₹99'}, {'item': 'O 69 Cheese Cigar Roll 139 Blue Lagoon 69 Paneer Roll 129 A Green Apple 79 Cheese Loaded Nachos 109 Chicken Loaded Nachos', 'price': '₹139'}, {'item': 'Ikka Roll', 'price': '₹139'}, {'item': 'Inger', 'price': '₹199'}, {'item': 'Ry 209 Ae Shakes Vanila Milk Shakes', 'price': '₹69'}, {'item': 'Rawberry Shakes', 'price': '₹79'}, {'item': 'Shake', 'price': '₹89'}, {'item': 'Akkasandwich 72 Orio Shake', 'price': '₹89'}, {'item': 'Ikka Sandwich', 'price': '₹99'}, {'item': 'Ikki Burger Paneer Crunchy Burger Chicken Burger 109 49 89 99 Royal Darbar Spl.Cheese', 'price': '₹119'}, {'item': 'A Red Sauce 129', 'price': '₹109'}, {'item': 'Dahi Kabab', 'price': '₹109'}, {'item': 'Baryali Kabab', 'price': '₹129'}, {'item': 'Andori Soya Chap 139 Malai Soya Chap', 'price': '₹169'}, {'item': 'Ikka 139 189 209 4 Pcs', 'price': '₹239'}, {'item': '-349 249 239', 'price': '₹249'}, {'item': 'O Cripsy Com', 'price': '₹929'}, {'item': 'Gravy', 'price': '₹140'}, {'item': 'Spungapuri', 'price': '₹79'}, {'item': '109 129 Chilli Chicken 169 Chicken Lollipop 200 Garlic Chicken 79 Chicken Manchurian', 'price': '₹189'}]","North Indian, Fast Food",₹600 for two,4.5 • 13 in Google •,"CLOSED, OPENS AT 11AM","Reservation available, SwiggyPay accepted"
Samocha - Stories Around Chai,"112/245 B, Khalasi Line, Swaroop Nagar North Kanpur 208002",,"[{'item': 'Jalapeno Veggie Wap', 'price': '₹119'}, {'item': 'Veggie Wrap 119 Sabudana Veggie Wrap 109 Mumbaiya Vada Wrap 129 Paneer Salsa Wrap', 'price': '₹139'}, {'item': 'Ra Onese-', 'price': '₹20'}, {'item': 'Eamed Veg (10 Pc)', 'price': '₹119'}, {'item': 'Eamed Paneer (1 Pc)', 'price': '₹129'}, {'item': 'Ried (6 Pc)', 'price': '₹99'}, {'item': 'Ried (6 Pc)', 'price': '₹119'}, {'item': 'Anooore (6 Pc)', 'price': '₹109'}, {'item': '(6 Pc)', 'price': '₹129'}, {'item': '(6 Pc)', 'price': '₹139'}, {'item': 'Ime Snacks Bun Maska Ron Oe Bun Haska 45 Paneer Poa 7 0 Bun Ask Jain Poha (No Onion)', 'price': '₹79'}, {'item': '(4 Po)', 'price': '₹139'}, {'item': 'Ravberry Bln Haska 55 Hash Brow (4)', 'price': '₹129'}, {'item': 'Ch Bun Haska', 'price': '₹55'}, {'item': 'Corn', 'price': '₹69'}, {'item': 'O Green Apple Blueberry Gooler (Cold Rink', 'price': '₹200'}, {'item': 'Eas Kashmiri Kama', 'price': '₹70'}, {'item': 'Ee - Regular', 'price': '₹99'}, {'item': 'H Ice Crean', 'price': '₹139'}, {'item': 'Rappe', 'price': '₹130'}, {'item': 'Ee - Irish', 'price': '₹109'}, {'item': 'He Komaucha', 'price': '₹120'}, {'item': 'Kombucha', 'price': '₹120'}]","Masala Chai, Tea, Corn Sandwich, Nachos, White Pasta, Maggi",₹600 for two,4.1 • 924 in Google •,"CLOSED, OPENS AT 9:30AM","Reservation available, Free wifi, SwiggyPay accepted"
